stato,inizio,fine,sindacati,settore,categoria,modalita,rilevanza,note,data_proclamazione,regione,provincia,data_ricezione,inizio_iso,fine_iso
Effettuato,04/02/2022,04/02/2022,OSR FILT-CGIL/FIT-CISL,Trasporto pubblico locale,PERSONALE DIPENDENTE AZIENDE TRASPORTO PUBBLICO LOCALE REGIONE BASILICATA,8 ORE VARIE MODALITA',Regionale,null,28/12/2021,Basilicata,Tutte,28/12/2021 12:27,2022-02-04,2022-02-04
Effettuato,04/02/2022,04/02/2022,OSR UILT-UIL/FAISA-CISAL,Trasporto pubblico locale,PERSONALE OPERATORE DI ESERCIZIO SOC.  FSE - FERROVIE SUD EST E S.A. DI BARI,4 ORE: DALLE 18.00 ALLE 22.00,Locale,null,30/12/2021,Puglia,Bari,30/12/2021 15:29,2022-02-04,2022-02-04
Effettuato,04/02/2022,04/02/2022,OSR USB LAVORO PRIVATO,Trasporto pubblico locale,PERSONALE SOC. BUSITALIA SITA NORD REGIONE UMBRIA,4 ORE: DALLE 17.30 ALLE 21.30,Regionale,null,17/01/2022,Umbria,Tutte,17/01/2022 11:24,2022-02-04,2022-02-04
Effettuato,04/02/2022,04/02/2022,OSR USB LAVORO PRIVATO,Trasporto pubblico locale,PERSONALE SOC. ATC DI CAPRI (NA),4 ORE: DALLE 11.00 ALLE 15.00,Territoriale,null,17/01/2022,Campania,Napoli,17/01/2022 17:06,2022-02-04,2022-02-04
Effettuato,04/02/2022,04/02/2022,USB LAVORO PRIVATO,Trasporto pubblico locale,PERSONALE AZIENDE ADDETTO AL TRASPORTO PUBBLICO LOCALE,4 ORE VARIE MODALITA',Nazionale,ESCLUSIONE PERSONALE SOC. ATB DI BERGAMO E PERSONALE SOC. FNM GROUP DI MILANO,12/01/2022,Italia,Tutte,12/01/2022 09:20,2022-02-04,2022-02-04
Effettuato,03/02/2022,03/02/2022,CUB TRASPORTI,Aereo,PERSONALE SOC. SEA PRESSO AEROPORTI DI MILANO LINATE E MALPENSA,24 ORE: DALLE 00.00 ALLE 23.59,Nazionale,null,22/01/2022,Italia,Tutte,24/01/2022 10:03,2022-02-03,2022-02-03
Effettuato,03/02/2022,03/02/2022,OSR USB LAVORO PRIVATO + RSA,Aereo,PERSONALE SOCC. TOSCANA AEROPORTI E TOSCANA AEROPORTI HANDLING SCALI DI FIRENZE E PISA,4 ORE: DALLE 12.00 ALLE 16.00,Locale,null,10/01/2022,Toscana,Tutte,11/01/2022 17:08,2022-02-03,2022-02-03
Effettuato,03/02/2022,03/02/2022,RSA UGL-TA,Aereo,PERSONALE SOC. ENAV APT PERUGIA,24 ORE: DALLE 00.00 ALLE 23.59,Locale,GARANTITA ASSISTENZA VOLI DA E PER AEROPORTO DI REGGIO CALABRIA,26/11/2021,Umbria,Perugia,26/11/2021 13:20,2022-02-03,2022-02-03
"Revocato (include le azioni di revoca, sospensione e differimento)",03/02/2022,03/02/2022,RSU UGL-TA,Aereo,"PERSONALE SOC. TECHNOSKY DEL CENTRO AEROPORTUALE DI LINATE TWR, MILANO ACC E MONTE SETTEPANI CRT",4 ORE: DALLE 12.00 ALLE 16.00,Nazionale,null,04/01/2022,Italia,Tutte,04/01/2022 10:06,2022-02-03,2022-02-03
"Revocato (include le azioni di revoca, sospensione e differimento)",03/02/2022,03/02/2022,USB LAVORO PRIVATO/FLAI TS/ADL,Aereo,PERSONALE SOC. SEA PRESSO AEROPORTI DI MILANO LINATE E MALPENSA,24 ORE,Nazionale,null,23/01/2022,Italia,Tutte,23/01/2022 17:05,2022-02-03,2022-02-03
